                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.63021,                0.36735,                 1.2096,                0.99295,                0.99474,                 0.9944,                0.90801,                0.50669,                0.22525,                 1.1302,              0.0057925,              0.0057925,              0.0057925
                     36,                0.62122,                0.35811,                 1.2014,                0.99137,                0.99611,                0.99436,                0.91149,                0.49811,                0.22373,                 1.1247,              0.0056688,              0.0056688,              0.0056688
                     37,                0.62117,                0.35422,                 1.2013,                0.99395,                0.99415,                0.99456,                 0.9115,                0.49683,                0.21864,                 1.1248,               0.005545,               0.005545,               0.005545
                     38,                0.61356,                0.34879,                 1.1927,                0.99321,                0.99611,                0.99416,                0.91415,                0.48998,                0.22441,                 1.1212,              0.0054212,              0.0054212,              0.0054212
                     39,                0.60618,                0.34708,                  1.185,                0.99493,                0.99658,                0.99446,                0.91425,                0.48243,                0.21627,                 1.1162,              0.0052975,              0.0052975,              0.0052975
                     40,                0.60318,                 0.3415,                 1.1892,                0.99461,                0.99668,                0.99437,                0.91291,                 0.4917,                0.21372,                  1.122,              0.0051737,              0.0051737,              0.0051737
                     41,                0.60044,                0.33925,                 1.1805,                0.99177,                0.99611,                0.99401,                0.91218,                0.49215,                0.21591,                 1.1182,                0.00505,                0.00505,                0.00505
                     42,                0.59806,                0.33947,                 1.1782,                0.99171,                0.99692,                 0.9946,                0.91423,                0.48579,                 0.2129,                 1.1129,              0.0049263,              0.0049263,              0.0049263
                     43,                0.58342,                0.33277,                 1.1693,                0.99647,                0.99505,                0.99467,                0.91186,                0.48695,                0.21393,                 1.1192,              0.0048025,              0.0048025,              0.0048025
                     44,                0.58054,                0.32957,                 1.1644,                0.99507,                0.99511,                0.99446,                0.91884,                0.47876,                0.21221,                 1.1075,              0.0046788,              0.0046788,              0.0046788
                     45,                0.57777,                0.32889,                 1.1592,                 0.9948,                0.99709,                 0.9946,                0.92111,                0.47395,                0.21125,                 1.1068,               0.004555,               0.004555,               0.004555
                     46,                 0.5659,                0.31922,                 1.1532,                0.99633,                0.99537,                 0.9944,                0.91878,                0.47381,                0.20953,                 1.1078,              0.0044313,              0.0044313,              0.0044313
                     47,                 0.5694,                 0.3194,                 1.1585,                0.99457,                0.99561,                0.99454,                0.92142,                0.46313,                0.21033,                 1.1048,              0.0043075,              0.0043075,              0.0043075
                     48,                0.56123,                 0.3173,                 1.1497,                0.99529,                0.99502,                0.99467,                0.92117,                0.45707,                0.20698,                 1.1031,              0.0041837,              0.0041837,              0.0041837
                     49,                0.55942,                0.31596,                 1.1505,                0.99377,                0.99517,                 0.9944,                0.92173,                0.46056,                0.20594,                 1.1025,                0.00406,                0.00406,                0.00406
                     50,                 0.5491,                0.31115,                 1.1396,                0.99454,                0.99623,                0.99458,                0.92477,                0.45928,                0.20575,                 1.1018,              0.0039362,              0.0039362,              0.0039362
                     51,                0.54786,                0.31012,                 1.1369,                0.99564,                0.99555,                0.99457,                0.92115,                0.46335,                0.20462,                  1.102,              0.0038125,              0.0038125,              0.0038125
                     52,                0.54808,                0.30915,                 1.1369,                0.99499,                0.99386,                0.99443,                0.92254,                 0.4617,                0.20435,                 1.0993,              0.0036888,              0.0036888,              0.0036888
                     53,                0.53866,                0.30376,                 1.1309,                0.99409,                0.99473,                 0.9945,                0.92087,                0.46031,                0.20489,                 1.0982,               0.003565,               0.003565,               0.003565
