                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3349,                 3.4385,                 1.5223,                0.75347,                0.65546,                0.80206,                0.53927,                 1.1702,                 1.8302,                 1.3791,               0.070084,               0.003324,               0.003324
                      1,                 1.0978,                 1.6162,                 1.2525,                0.96767,                0.96183,                0.98591,                0.72471,                0.99632,                0.97975,                 1.2301,               0.039974,              0.0065475,              0.0065475
                      2,                 1.1066,                 1.3525,                 1.2375,                0.91933,                 0.9087,                0.95992,                0.69438,                0.99478,                0.90169,                 1.2564,              0.0097539,               0.009661,               0.009661
                      3,                 1.1251,                  1.224,                 1.2405,                0.95897,                 0.9816,                 0.9839,                0.74951,                0.90745,                0.66733,                 1.2148,               0.009505,               0.009505,               0.009505
                      4,                 1.0651,                 1.0508,                 1.2031,                0.72552,                0.49632,                0.53016,                0.34626,                 1.6071,                 2.4581,                 1.8282,               0.009505,               0.009505,               0.009505
                      5,                 1.0283,                0.91609,                 1.1795,                  0.913,                0.76853,                 0.8986,                0.64934,                 1.0604,                0.93128,                 1.2844,                0.00934,                0.00934,                0.00934
                      6,                0.98098,                0.80941,                 1.1564,                0.96721,                0.95153,                0.98812,                0.78025,                0.82925,                0.57978,                 1.1222,               0.009175,               0.009175,               0.009175
                      7,                0.94076,                0.73164,                 1.1337,                0.98552,                0.99091,                0.99382,                0.80297,                0.76502,                0.45288,                 1.0753,                0.00901,                0.00901,                0.00901
                      8,                0.92287,                0.67577,                 1.1185,                0.99023,                0.98939,                0.99447,                0.78954,                0.81143,                0.44424,                 1.1115,               0.008845,               0.008845,               0.008845
                      9,                0.89082,                 0.6309,                  1.104,                0.99417,                0.98951,                0.99184,                0.82717,                 0.7141,                0.39347,                 1.0505,                0.00868,                0.00868,                0.00868
                     10,                0.88597,                0.60741,                 1.1014,                0.99181,                0.98657,                0.99321,                0.82044,                0.75288,                0.38922,                 1.0639,               0.008515,               0.008515,               0.008515
                     11,                0.85648,                0.57376,                 1.0856,                 0.9936,                0.98925,                0.99391,                0.82901,                0.71173,                0.35998,                 1.0456,                0.00835,                0.00835,                0.00835
                     12,                0.82952,                0.55399,                 1.0797,                0.98846,                0.99057,                0.99229,                0.82441,                0.73954,                0.38462,                 1.0641,               0.008185,               0.008185,               0.008185
