                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6829,                 4.5669,                  3.456,                 0.4725,                0.37802,                 0.3357,                0.15327,                 2.0197,                 3.0068,                  2.715,             0.00020808,             0.00020808,             0.00020808
                      2,                 1.9103,                 2.9816,                 2.4456,                0.81022,                0.76975,                0.86856,                0.50181,                 1.4998,                 1.3465,                 2.1568,              0.0004061,              0.0004061,              0.0004061
                      3,                 1.6791,                 2.0867,                 2.1678,                0.89288,                0.92502,                0.95303,                0.59619,                 1.3397,                  1.043,                 1.8807,             0.00059382,             0.00059382,             0.00059382
                      4,                 1.5106,                 1.6309,                 1.9714,                0.95368,                0.95272,                0.98174,                0.68363,                 1.1184,                0.82854,                 1.6903,             0.00057859,             0.00057859,             0.00057859
                      5,                 1.4005,                  1.373,                 1.8486,                0.96275,                0.97607,                0.98499,                0.71155,                 1.0552,                 0.7074,                  1.597,             0.00057859,             0.00057859,             0.00057859
                      6,                 1.3107,                 1.1871,                  1.755,                0.95889,                0.96658,                0.98181,                0.71422,                 1.0494,                0.65351,                 1.5387,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.2453,                 1.0704,                 1.6793,                0.98111,                 0.9818,                0.99139,                0.75554,                0.92768,                0.56258,                 1.4376,             0.00054766,             0.00054766,             0.00054766
                      8,                 1.1875,                0.98301,                 1.6234,                0.98036,                0.98446,                0.99132,                0.77485,                0.90326,                0.52214,                 1.4212,             0.00053219,             0.00053219,             0.00053219
                      9,                 1.1463,                0.90809,                 1.5784,                0.98879,                0.98726,                0.99149,                0.79141,                0.82997,                0.49399,                 1.3481,             0.00051672,             0.00051672,             0.00051672
                     10,                 1.1046,                0.85281,                 1.5355,                0.99114,                0.98675,                 0.9926,                0.78463,                0.84183,                0.48461,                 1.3186,             0.00050125,             0.00050125,             0.00050125
                     11,                 1.0834,                0.81783,                  1.513,                0.99175,                0.98805,                0.99236,                 0.8029,                0.78987,                0.44804,                 1.2569,             0.00048578,             0.00048578,             0.00048578
                     12,                 1.0406,                0.76916,                 1.4745,                0.99357,                0.99058,                0.99223,                0.80209,                0.79794,                0.44895,                 1.2684,             0.00047031,             0.00047031,             0.00047031
                     13,                 1.0212,                0.73843,                 1.4491,                0.99431,                0.99111,                0.99173,                0.80942,                0.77014,                0.41763,                 1.2357,             0.00045484,             0.00045484,             0.00045484
                     14,                 1.0011,                0.71164,                 1.4309,                0.99386,                0.98707,                0.99342,                0.82644,                0.74034,                0.40063,                 1.2144,             0.00043937,             0.00043937,             0.00043937
                     15,                0.98632,                0.69445,                 1.4155,                0.99487,                0.99101,                0.99309,                0.83311,                0.70682,                0.38855,                 1.1751,             0.00042391,             0.00042391,             0.00042391
                     16,                0.96008,                0.66926,                 1.3901,                  0.993,                0.99311,                0.99295,                0.83156,                0.71737,                0.37749,                 1.1728,             0.00040844,             0.00040844,             0.00040844
                     17,                0.94145,                0.64739,                 1.3717,                0.99338,                 0.9914,                0.99321,                0.84233,                0.68552,                0.36156,                 1.1487,             0.00039297,             0.00039297,             0.00039297
                     18,                0.92323,                0.62882,                 1.3583,                0.99409,                0.99281,                0.99326,                0.84185,                 0.7078,                0.36651,                 1.1586,              0.0003775,              0.0003775,              0.0003775
                     19,                0.90749,                0.61694,                 1.3426,                0.99492,                0.99414,                0.99401,                0.85682,                0.66221,                0.34572,                 1.1234,             0.00036203,             0.00036203,             0.00036203
                     20,                0.89057,                0.59394,                 1.3305,                0.99503,                0.99513,                0.99304,                0.85105,                0.66796,                0.34427,                 1.1195,             0.00034656,             0.00034656,             0.00034656
                     21,                0.88344,                0.58389,                 1.3238,                0.99326,                0.99469,                0.99336,                0.85906,                0.65577,                0.34199,                 1.1133,             0.00033109,             0.00033109,             0.00033109
                     22,                0.86254,                0.57328,                  1.305,                0.99313,                0.99513,                0.99346,                0.85742,                0.65588,                0.33791,                  1.119,             0.00031562,             0.00031562,             0.00031562
                     23,                0.85572,                0.56267,                 1.2981,                0.99501,                0.99343,                0.99334,                0.86254,                0.63323,                0.32291,                 1.1001,             0.00030016,             0.00030016,             0.00030016
                     24,                0.83972,                0.55032,                 1.2873,                0.99515,                0.99482,                0.99342,                 0.8716,                0.61404,                0.32066,                   1.09,             0.00028469,             0.00028469,             0.00028469
                     25,                0.82447,                0.53449,                 1.2723,                0.99504,                0.99513,                0.99367,                0.86977,                0.61724,                0.31589,                 1.0849,             0.00026922,             0.00026922,             0.00026922
                     26,                0.82462,                0.53084,                 1.2741,                0.99383,                0.99429,                0.99348,                0.87233,                0.62222,                0.31498,                 1.0834,             0.00025375,             0.00025375,             0.00025375
                     27,                0.81661,                0.52319,                 1.2633,                0.99512,                0.99492,                 0.9944,                0.86789,                0.61413,                0.30793,                 1.0682,             0.00023828,             0.00023828,             0.00023828
                     28,                0.80537,                0.51598,                 1.2564,                0.99365,                0.99455,                0.99441,                0.87575,                0.60356,                0.30109,                 1.0583,             0.00022281,             0.00022281,             0.00022281
                     29,                 0.7955,                0.51133,                 1.2467,                 0.9928,                0.99655,                0.99387,                0.87952,                0.58363,                0.29777,                 1.0517,             0.00020734,             0.00020734,             0.00020734
                     30,                0.78614,                0.49735,                 1.2383,                0.99292,                0.99697,                 0.9939,                0.88071,                  0.582,                0.29434,                 1.0463,             0.00019188,             0.00019188,             0.00019188
                     31,                0.65107,                0.33563,                 1.1517,                0.98893,                0.99576,                0.99361,                0.88912,                 0.5689,                0.29325,                 1.0425,             0.00017641,             0.00017641,             0.00017641
                     32,                 0.6278,                0.32124,                 1.1313,                0.99334,                0.99645,                  0.994,                0.88962,                0.56177,                0.28509,                  1.033,             0.00016094,             0.00016094,             0.00016094
                     33,                0.60622,                 0.3129,                 1.1129,                0.99319,                0.99414,                0.99394,                0.89108,                0.55719,                0.28137,                 1.0311,             0.00014547,             0.00014547,             0.00014547
                     34,                0.59184,                0.30573,                 1.1005,                0.99409,                0.99681,                0.99408,                0.89534,                 0.5461,                 0.2806,                 1.0222,                0.00013,                0.00013,                0.00013
                     35,                0.58013,                0.30125,                 1.0923,                0.99294,                 0.9961,                0.99401,                0.89477,                0.54349,                  0.278,                 1.0209,             0.00011453,             0.00011453,             0.00011453
                     36,                0.57156,                0.29552,                 1.0874,                0.99207,                0.99703,                0.99405,                0.89883,                 0.5369,                0.27568,                 1.0149,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     37,                0.55306,                  0.289,                 1.0722,                0.99091,                0.99665,                0.99403,                0.90054,                0.53222,                0.27471,                 1.0114,             8.3594e-05,             8.3594e-05,             8.3594e-05
                     38,                 0.5438,                0.28362,                 1.0647,                 0.9906,                0.99675,                0.99392,                0.89963,                0.53299,                0.27198,                 1.0128,             6.8125e-05,             6.8125e-05,             6.8125e-05
