                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.75434,                0.46599,                 1.2961,                0.99255,                0.99324,                0.99368,                0.88884,                0.56951,                0.28175,                 1.1701,              0.0059163,              0.0059163,              0.0059163
                     35,                0.75108,                0.46529,                 1.2919,                0.99264,                0.99184,                0.99348,                0.88837,                0.57416,                0.27715,                 1.1757,              0.0057925,              0.0057925,              0.0057925
                     36,                0.73897,                0.45272,                 1.2808,                0.99219,                0.99281,                0.99358,                0.88807,                0.57106,                0.27638,                 1.1707,              0.0056688,              0.0056688,              0.0056688
                     37,                0.73476,                0.45146,                 1.2758,                 0.9881,                 0.9954,                0.99327,                0.89007,                0.55868,                0.26496,                 1.1538,               0.005545,               0.005545,               0.005545
                     38,                0.73047,                0.44621,                 1.2693,                0.99165,                0.99219,                0.99423,                0.88885,                0.56576,                0.27013,                 1.1607,              0.0054212,              0.0054212,              0.0054212
                     39,                0.72697,                0.44061,                 1.2648,                0.99159,                0.99194,                0.99315,                0.88919,                 0.5706,                0.26995,                  1.156,              0.0052975,              0.0052975,              0.0052975
                     40,                0.72221,                0.43633,                 1.2671,                0.99307,                0.99538,                0.99343,                0.89202,                0.55737,                 0.2636,                 1.1525,              0.0051737,              0.0051737,              0.0051737
                     41,                0.71684,                0.43645,                 1.2579,                0.99292,                0.99709,                0.99341,                0.89338,                0.55035,                0.26092,                 1.1457,                0.00505,                0.00505,                0.00505
                     42,                0.71428,                0.43267,                 1.2589,                0.99257,                0.99567,                0.99435,                0.89616,                0.54491,                0.25819,                 1.1429,              0.0049263,              0.0049263,              0.0049263
                     43,                0.70467,                0.42743,                 1.2504,                0.99293,                0.99553,                0.99426,                0.89504,                0.54432,                0.25808,                 1.1435,              0.0048025,              0.0048025,              0.0048025
                     44,                0.69615,                0.41597,                  1.244,                0.99215,                0.99709,                0.99427,                 0.8947,                 0.5486,                0.25715,                 1.1423,              0.0046788,              0.0046788,              0.0046788
                     45,                0.69573,                0.42101,                 1.2388,                0.99302,                0.99606,                0.99454,                0.89874,                0.53812,                0.25454,                 1.1335,               0.004555,               0.004555,               0.004555
                     46,                0.68438,                0.41146,                 1.2313,                0.99079,                0.99532,                 0.9944,                 0.8989,                0.54033,                0.25406,                 1.1353,              0.0044313,              0.0044313,              0.0044313
                     47,                0.68653,                0.40919,                 1.2361,                0.99221,                0.99608,                0.99458,                0.89947,                0.53596,                0.25218,                 1.1289,              0.0043075,              0.0043075,              0.0043075
                     48,                0.67864,                0.40777,                 1.2289,                 0.9927,                0.99604,                0.99327,                0.90148,                0.53386,                0.25003,                 1.1294,              0.0041837,              0.0041837,              0.0041837
                     49,                0.68015,                0.40798,                 1.2325,                0.99295,                0.99485,                0.99417,                0.90288,                0.53381,                0.24793,                 1.1296,                0.00406,                0.00406,                0.00406
                     50,                0.67046,                 0.4012,                 1.2199,                0.99299,                0.99562,                0.99359,                0.90545,                0.52815,                0.24617,                 1.1284,              0.0039362,              0.0039362,              0.0039362
                     51,                0.66633,                0.39875,                 1.2204,                0.99262,                0.99388,                0.99377,                0.90579,                0.52518,                0.24403,                  1.128,              0.0038125,              0.0038125,              0.0038125
                     52,                0.66649,                0.39925,                 1.2183,                0.99263,                0.99555,                0.99375,                0.90419,                0.52947,                0.24397,                 1.1269,              0.0036888,              0.0036888,              0.0036888
