                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.68603,                0.41134,                  1.257,                0.99417,                 0.9951,                0.99401,                 0.8974,                0.53636,                0.25143,                 1.1648,              0.0057925,              0.0057925,              0.0057925
                     36,                0.67655,                0.40431,                 1.2486,                0.99435,                0.99539,                0.99392,                 0.8988,                 0.5433,                0.25035,                 1.1716,              0.0056688,              0.0056688,              0.0056688
                     37,                0.67651,                0.39997,                  1.249,                0.99453,                0.99636,                0.99431,                0.90395,                0.52517,                0.24613,                 1.1587,               0.005545,               0.005545,               0.005545
                     38,                0.66554,                 0.3914,                 1.2383,                0.99329,                 0.9977,                0.99363,                0.90102,                0.52411,                0.24386,                 1.1538,              0.0054212,              0.0054212,              0.0054212
                     39,                0.66271,                0.38936,                 1.2324,                0.99205,                 0.9968,                0.99335,                0.90115,                0.51829,                0.24422,                 1.1492,              0.0052975,              0.0052975,              0.0052975
                     40,                0.65514,                0.38427,                 1.2341,                0.99274,                0.99663,                0.99346,                 0.9037,                0.51828,                0.24047,                 1.1536,              0.0051737,              0.0051737,              0.0051737
                     41,                0.65442,                0.38392,                 1.2255,                0.99345,                0.99498,                0.99362,                0.90414,                0.51889,                0.23819,                 1.1491,                0.00505,                0.00505,                0.00505
                     42,                0.65042,                0.38146,                 1.2243,                0.99449,                0.99545,                0.99408,                0.90725,                0.51193,                0.23634,                 1.1453,              0.0049263,              0.0049263,              0.0049263
                     43,                0.63869,                0.37253,                 1.2148,                0.99447,                0.99517,                0.99381,                0.90886,                0.50961,                0.23474,                 1.1446,              0.0048025,              0.0048025,              0.0048025
                     44,                  0.634,                0.36896,                 1.2111,                0.99356,                0.99604,                 0.9937,                0.91135,                0.50739,                0.23444,                 1.1409,              0.0046788,              0.0046788,              0.0046788
                     45,                0.63107,                 0.3691,                 1.2064,                0.99467,                0.99608,                0.99409,                0.91316,                0.50008,                0.23133,                 1.1381,               0.004555,               0.004555,               0.004555
                     46,                0.62176,                0.36051,                 1.2005,                0.99389,                0.99611,                0.99381,                0.90965,                0.49684,                0.23068,                 1.1307,              0.0044313,              0.0044313,              0.0044313
                     47,                0.62419,                0.35994,                 1.2015,                0.99414,                0.99634,                0.99397,                0.91322,                0.49458,                 0.2297,                 1.1275,              0.0043075,              0.0043075,              0.0043075
                     48,                0.61592,                0.35448,                 1.1955,                 0.9939,                0.99666,                0.99412,                0.91286,                0.49275,                0.23131,                 1.1289,              0.0041837,              0.0041837,              0.0041837
                     49,                0.61629,                0.35513,                  1.199,                0.99395,                0.99556,                0.99371,                0.91236,                0.49761,                0.22703,                 1.1348,                0.00406,                0.00406,                0.00406
                     50,                0.60486,                0.34862,                 1.1869,                0.99327,                0.99679,                0.99392,                0.91367,                0.49572,                0.22749,                 1.1346,              0.0039362,              0.0039362,              0.0039362
                     51,                0.60189,                0.34626,                 1.1851,                0.99274,                0.99578,                0.99392,                0.91328,                0.49553,                 0.2274,                 1.1336,              0.0038125,              0.0038125,              0.0038125
                     52,                0.60086,                0.34653,                 1.1828,                0.99033,                 0.9953,                0.99387,                0.91212,                0.49436,                0.22523,                 1.1304,              0.0036888,              0.0036888,              0.0036888
                     53,                0.59351,                0.34045,                  1.178,                0.99219,                 0.9976,                0.99397,                0.91431,                0.49033,                0.22504,                 1.1275,               0.003565,               0.003565,               0.003565
                     54,                0.59001,                 0.3347,                 1.1803,                0.99193,                0.99561,                0.99384,                0.91404,                0.49173,                0.22759,                 1.1279,              0.0034413,              0.0034413,              0.0034413
                     55,                0.58058,                0.33238,                 1.1683,                0.99249,                0.99665,                0.99377,                0.91584,                0.48731,                0.22763,                 1.1252,              0.0033175,              0.0033175,              0.0033175
                     56,                0.58352,                0.33084,                 1.1708,                0.99358,                0.99452,                0.99378,                0.91498,                0.48894,                0.22796,                 1.1243,              0.0031938,              0.0031938,              0.0031938
